"step_index","loss","grad_norm","learning_rate","entropy","num_tokens","logits/chosen","logits/rejected","mean_token_accuracy","rewards/chosen","rewards/rejected","rewards/accuracies","rewards/margins","logps/chosen","logps/rejected","epoch "
"0","0.6866","5.409","4.97E-05","2.218","2.00E+04","-3.106","-3.142","0.4644","0.0539","0.03917","0.55","0.01473","-84.77","-93.2","0.01797 "
"1","0.7023","7.725","4.94E-05","2.084","4.11E+04","-3.126","-3.166","0.4565","0.1185","0.1274","0.5","-0.008855","-85.21","-106.6","0.03594 "
"2","0.6925","5.508","4.91E-05","2.151","6.27E+04","-3.111","-3.134","0.4568","0.1967","0.1754","0.525","0.02133","-102.4","-93.47","0.05391 "
"3","0.6697","5.51","4.88E-05","2.1","8.46E+04","-3.152","-3.19","0.4618","0.2301","0.1706","0.625","0.05953","-87.08","-100.9","0.07188 "
"4","0.6917","5.601","4.85E-05","2.154","1.06E+05","-3.165","-3.168","0.4704","0.2251","0.2009","0.5875","0.02423","-81.46","-87.41","0.08985 "
"5","0.6666","5.048","4.82E-05","2.077","1.26E+05","-3.165","-3.154","0.485","0.214","0.1285","0.5375","0.08541","-86.61","-94.42","0.1078 "
"6","0.6794","4.622","4.79E-05","2.105","1.47E+05","-3.137","-3.161","0.4749","0.1365","0.09159","0.575","0.04496","-77.87","-90.98","0.1258 "
"7","0.6593","7.745","4.76E-05","2.189","1.68E+05","-3.138","-3.134","0.4693","0.1241","0.004124","0.5875","0.1199","-95.8","-111","0.1438 "
"8","0.6657","6.791","4.73E-05","2.162","1.89E+05","-3.149","-3.173","0.4416","0.1255","0.03158","0.6125","0.09391","-81.79","-100.6","0.1617 "
"9","0.598","6.179","4.70E-05","2.098","2.09E+05","-3.121","-3.166","0.4667","0.1443","-0.1607","0.6625","0.3051","-80.82","-116.6","0.1797 "
"10","0.6422","6.465","4.67E-05","2.075","2.31E+05","-3.134","-3.172","0.4652","-0.01782","-0.2938","0.65","0.276","-98.62","-123.2","0.1977 "
"11","0.6671","9.362","4.64E-05","2.168","2.53E+05","-3.146","-3.142","0.4528","-0.1353","-0.3488","0.6125","0.2135","-92","-107.6","0.2156 "
"12","0.6871","8.111","4.61E-05","2.237","2.75E+05","-3.112","-3.137","0.4399","-0.07677","-0.2472","0.5875","0.1705","-87.38","-99.82","0.2336 "
"13","0.6125","6.502","4.58E-05","2.312","2.94E+05","-3.084","-3.105","0.4594","0.08498","-0.1819","0.7","0.2669","-81.54","-103.8","0.2516 "
"14","0.6836","5.902","4.55E-05","2.294","3.15E+05","-3.076","-3.095","0.4868","-0.07155","-0.2151","0.6125","0.1436","-98.94","-106.1","0.2695 "
"15","0.6398","23.08","4.52E-05","2.383","3.38E+05","-3.035","-3.037","0.4337","-0.02209","-0.2321","0.6875","0.21","-90.2","-92.96","0.2875 "
"16","0.5977","5.058","4.49E-05","2.47","3.57E+05","-2.996","-3.024","0.4591","-0.02401","-0.3293","0.7125","0.3053","-83.85","-105.8","0.3055 "
"17","0.6396","6.899","4.46E-05","2.541","3.80E+05","-2.989","-3.021","0.4272","-0.07275","-0.3625","0.6125","0.2897","-98.07","-119.8","0.3235 "
"18","0.6955","12.36","4.43E-05","2.502","4.02E+05","-3.011","-3.011","0.451","-0.2232","-3.3982","0.5875","0.175","-102.6","-98.6","0.3414 "
"19","0.6555","5.994","4.41E-05","2.545","4.27E+05","-3.016","-3.009","0.4601","-0.1322","-0.4326","0.65","0.3004","-110.4","-115.4","0.3594 "
"20","0.598","6.512","4.38E-05","2.415","4.48E+05","-3.049","-3.039","0.4729","0.01242","-0.2898","0.675","0.3022","-101.2","-101.2","0.3774 "
"21","0.6403","7.096","4.35E-05","2.433","4.67E+05","-3.034","-3.039","0.449","-0.05671","-0.2758","0.6","0.2191","-89.75","-108.2","0.3953 "
"22","0.5845","8.147","4.32E-05","2.338","4.90E+05","-3.069","-3.073","0.4655","-0.0665","-0.3763","0.7125","0.3098","-82.88","-113","0.4133 "
"23","0.576","6.788","4.29E-05","2.465","5.12E+05","-3.069","-3.064","0.4527","-0.1271","-0.4962","0.7125","0.3691","-90.77","-102.5","0.4313 "
"24","0.6229","7.708","4.26E-05","2.515","5.36E+05","-3.052","-3.066","0.4643","-0.3994","-0.7834","0.7","0.384","-99.57","-132.8","0.4492 "
"25","0.5614","8.097","4.23E-05","2.594","5.59E+05","-3.046","-3.038","0.4447","-0.334","-0.7983","0.7","0.4643","-101.1","-112.2","0.4672 "
"26","0.7217","6.751","4.20E-05","2.568","5.79E+05","-3.029","-3.045","0.4312","-0.4921","-0.7668","0.625","0.2747","-98.68","-104.9","0.4852 "
"27","0.5641","7.88","4.17E-05","2.581","6.00E+05","-3.046","-3.048","0.4245","-0.2873","-0.7598","0.725","0.4726","-87.13","-108","0.5031 "
"28","0.5228","6.868","4.14E-05","2.588","6.22E+05","-3.014","-3.022","0.475","-0.399","-1.232","0.7625","0.8335","-87.76","-134.1","0.5211 "
"29","0.5906","8.096","4.11E-05","2.661","6.47E+05","-2.986","-2.985","0.4549","-0.8144","-1.445","0.6125","0.6307","-98.62","-125.9","0.5391 "
"30","0.6265","7.97","4.08E-05","2.634","6.70E+05","-3.007","-3.001","0.4469","-0.6388","-1.163","0.65","0.5245","-100.5","-120","0.5571 "
"31","0.5889","6.408","4.05E-05","2.595","6.93E+05","-3.018","-3.024","0.4526","-0.5557","-1.176","0.6375","0.6208","-94.56","-127.8","0.575 "
"32","0.5868","6.817","4.02E-05","2.536","7.14E+05","-2.995","-3.011","0.4746","-0.5918","-1.138","0.7375","0.5464","-100.7","-124.5","0.593 "
"33","0.5065","7.989","3.99E-05","2.584","7.34E+05","-2.972","-2.998","0.4828","-0.4513","-1.254","0.725","0.8028","-88.11","-115.9","0.611 "
"34","0.5672","10.77","3.96E-05","2.638","7.54E+05","-2.987","-2.994","0.4476","-0.5862","-1.223","0.7125","0.6371","-89.17","-104.4","0.6289 "
"35","0.5805","11.62","3.93E-05","2.626","7.74E+05","-3.001","-3.005","0.4343","-0.7142","-1.598","0.6875","0.8837","-90.28","-122.9","0.6469 "
"36","0.5466","6.292","3.90E-05","2.547","7.96E+05","-2.998","-3.003","0.4523","-0.6976","-1.672","0.7125","0.9741","-82.13","-127.9","0.6649 "
"37","0.6804","28.36","3.87E-05","2.583","8.18E+05","-2.988","-2.992","0.4342","-1.185","-2.174","0.7","0.989","-110.9","-139.7","0.6828 "
"38","0.5753","9.196","3.84E-05","2.579","8.40E+05","-3.009","-3.005","0.4555","-1.08","-1.903","0.6375","0.8226","-104.9","-134.7","0.7008 "
"39","0.6329","5.659","3.81E-05","2.522","8.62E+05","-3.001","-3.002","0.4544","-0.4119","-1.014","0.7","0.6022","-91.75","-106","0.7188 "
"40","0.5028","11.01","3.78E-05","2.504","8.82E+05","-3.037","-3.019","0.4655","-0.2829","-0.9592","0.7125","0.6763","-97.69","-125.6","0.7367 "
"41","0.689","9.173","3.75E-05","2.586","9.02E+05","-3.003","-3.014","0.4393","-0.6444","-1.06","0.6","0.4156","-84.09","-117.6","0.7547 "
"42","0.6895","16.24","3.72E-05","2.519","9.20E+05","-3.001","-3.003","0.4723","-0.4582","-0.7246","0.5375","0.2664","-84.33","-98.92","0.7727 "
"43","0.601","7.749","3.69E-05","2.544","9.41E+05","-3.032","-3.022","0.4715","-0.3318","-0.8502","0.6125","0.5183","-89.51","-112","0.7907 "
"44","0.5678","7.311","3.66E-05","2.553","9.61E+05","-3.028","-3.013","0.4443","-0.3921","-1.033","0.6875","0.641","-86.95","-105.6","0.8086 "
"45","0.5819","6.391","3.63E-05","2.554","9.83E+05","-3.014","-3.032","0.4412","-0.4837","-1.163","0.65","0.6796","-84.23","-109","0.8266 "
"46","0.4793","8.279","1.92E-05","2.093","2.21E+06","-3.158","-3.179","0.4257","-1.032","-1.933","0.8125","0.9009","-87.43","-110.3","1.85 "
"47","0.4113","6.295","1.89E-05","2.143","2.22E+06","-3.168","-3.176","0.4468","-1.226","-2.599","0.825","1.373","-98.25","-124.9","1.868 "
"48","0.4611","7.796","1.86E-05","2.041","2.25E+06","-3.19","-3.187","0.4446","-1.073","-2.329","0.8125","1.256","-99.47","-124.5","1.886 "
"49","0.4961","21.48","1.83E-05","1.999","2.27E+06","-3.186","-3.195","0.4483","-1.385","-2.718","0.775","1.333","-108","-132.6","1.904 "
"50","0.4674","6.222","1.80E-05","2.017","2.29E+06","-3.196","-3.205","0.4311","-1.31","-2.415","0.7375","1.106","-95.17","-121","1.922 "
"51","0.4946","10.1","1.77E-05","2.033","2.31E+06","-3.2","-3.223","0.4416","-1.35","-2.574","0.8","1.223","-105.7","-130.8","1.94 "
"52","0.3435","12.4","1.74E-05","2.063","2.33E+06","-3.219","-3.238","0.4171","-1.384","-3.13","0.825","1.745","-101.8","-146.4","1.958 "
"53","0.4413","9.328","1.71E-05","2.056","2.35E+06","-3.222","-3.206","0.4493","-1.247","-2.399","0.7875","1.152","-102.9","-120.7","1.976 "
"54","0.4435","10.24","1.68E-05","2.118","2.38E+06","-3.196","-3.204","0.4346","-1.624","-3.357","0.775","1.733","-102.7","-148.9","1.994 "
"55","0.3558","6.289","1.65E-05","2.025","2.40E+06","-3.225","-3.222","0.451","-1.153","-3.163","0.8684","2.011","-100.8","-153.7","2.011 "
"56","0.3673","9.448","1.62E-05","2.053","2.42E+06","-3.203","-3.197","0.4326","-1.572","-3.28","0.85","1.708","-100.3","-129.2","2.029 "
"57","0.2733","8.589","1.59E-05","2.07","2.44E+06","-3.187","-3.23","0.4467","-1.164","-3.05","0.9","1.886","-109.6","-132.3","2.047 "
"58","0.32","12.38","1.56E-05","1.935","2.46E+06","-3.223","-3.216","0.4542","-1.402","-2.923","0.9","1.521","-100.3","-116.2","2.065 "
"59","0.2792","2.969","1.53E-05","1.998","2.48E+06","-3.185","-3.208","0.4178","-1.57","-3.742","0.8875","2.172","-97.46","-145.5","2.083 "
"60","0.2707","8.696","1.50E-05","1.961","2.50E+06","-3.221","-3.202","0.4269","-1.716","-3.959","0.925","2.243","-108.1","-147.7","2.101 "
"61","0.4044","13.23","1.47E-05","1.927","2.52E+06","-3.232","-3.216","0.3965","-1.937","-3.566","0.8","1.629","-107.8","-135.6","2.119 "
"62","0.3131","12.38","1.44E-05","1.859","2.54E+06","-3.227","-3.25","0.4185","-1.527","-3.212","0.8875","1.684","-98.09","-134.3","2.137 "
"63","0.2478","12.67","1.41E-05","1.878","2.57E+06","-3.23","-3.226","0.4389","-1.76","-4.027","0.95","2.267","-115.4","-143.4","2.155 "
"64","0.2407","8.535","1.38E-05","1.88","2.59E+06","-3.21","-3.223","0.4175","-1.651","-4.287","0.925","2.636","-110.1","-148.6","2.173 "
"65","0.2795","15.16","1.35E-05","1.819","2.61E+06","-3.17","-3.2","0.4226","-2.049","-4.218","0.9","2.169","-107.5","-143.3","2.19 "
"66","0.349","10.45","1.32E-05","1.885","2.63E+06","-3.199","-3.228","0.4337","-1.886","-4.005","0.8375","2.118","-109","-147.7","2.208 "
"67","0.2476","10.41","1.29E-05","1.834","2.65E+06","-3.181","-3.221","0.4445","-1.596","-3.682","0.9125","2.085","-110.1","-141.3","2.226 "
"68","0.3128","11.92","1.26E-05","1.784","2.67E+06","-3.243","-3.223","0.4273","-1.527","-3.594","0.8625","2.067","-99.7","-124.2","2.244 "
"69","0.3665","19.62","1.23E-05","1.796","2.70E+06","-3.184","-3.216","0.4304","-1.868","-3.845","0.8625","1.978","-102.7","-158.5","2.262 "
"70","0.2871","17.16","1.20E-05","1.809","2.72E+06","-3.221","-3.229","0.4257","-2.208","-4.353","0.8875","2.145","-120.4","-155","2.28 "
"71","0.3196","19.82","1.17E-05","1.741","2.74E+06","-3.211","-3.188","0.4218","-2.204","-4.88","0.85","2.676","-111.5","-168.3","2.298 "
"72","0.3839","10.21","1.14E-05","1.789","2.76E+06","-3.181","-3.214","0.4226","-2.267","-4.717","0.8875","2.45","-112.8","-149.8","2.316 "
"73","0.2896","45.18","1.11E-05","1.754","2.78E+06","-3.22","-3.231","0.4535","-2.064","-4.341","0.9125","2.277","-112.1","-158.5","2.334 "
"74","0.4272","14.74","1.08E-05","1.729","2.81E+06","-3.229","-3.25","0.435","-2.078","-3.59","0.8","1.512","-119.5","-146.6","2.352 "
"75","0.3037","21.21","1.05E-05","1.785","2.83E+06","-3.236","-3.217","0.4366","-1.834","-3.743","0.9","1.909","-109.8","-136.3","2.37 "
"76","0.351","24.58","1.02E-05","1.827","2.85E+06","-3.212","-3.205","0.4268","-1.699","-3.497","0.8375","1.798","-109.3","-125.7","2.388 "
"77","0.2702","11.47","9.93E-06","1.847","2.87E+06","-3.211","-3.212","0.4451","-1.654","-3.912","0.925","2.258","-96.04","-143.8","2.406 "
"78","0.3557","30.55","9.64E-06","1.828","2.89E+06","-3.2","-3.231","0.4302","-1.904","-4.223","0.8","2.319","-116.3","-145.2","2.424 "
"79","0.3624","9.323","9.34E-06","1.838","2.91E+06","-3.217","-3.202","0.4248","-1.742","-3.949","0.85","2.207","-92.39","-145.9","2.442 "
"80","0.3377","12.16","9.04E-06","1.804","2.93E+06","-3.253","-3.261","0.4306","-2.037","-3.87","0.85","1.832","-112.8","-140","2.46 "
"81","0.3124","38.08","8.74E-06","1.844","2.95E+06","-3.267","-3.245","0.4129","-1.886","-4.086","0.925","2.2","-121.2","-159.1","2.478 "
"82","0.2817","8.037","8.44E-06","1.793","2.98E+06","-3.25","-3.233","0.4284","-2.122","-4.39","0.8875","2.268","-107","-156","2.496 "
"83","0.2859","18.68","8.14E-06","1.734","3.00E+06","-3.247","-3.275","0.4465","-2.176","-4.425","0.8875","2.249","-116.2","-160.3","2.514 "
"84","0.3167","17.67","7.84E-06","1.771","3.02E+06","-3.252","-3.268","0.4178","-2.243","-4.32","0.9125","2.078","-103.5","-153.4","2.532 "
"85","0.4227","13.6","7.54E-06","1.708","3.04E+06","-3.272","-3.253","0.455","-2.145","-3.706","0.8","1.561","-119.4","-132.4","2.55 "
"86","0.2986","12.63","7.24E-06","1.674","3.06E+06","-3.263","-3.237","0.436","-1.535","-3.576","0.8875","2.04","-108.4","-138.4","2.568 "
"87","0.303","14.4","6.94E-06","1.733","3.08E+06","-3.241","-3.262","0.4275","-1.847","-4.07","0.8625","2.223","-100.2","-154.4","2.586 "
"88","0.3113","7.432","6.64E-06","1.749","3.10E+06","-3.264","-3.264","0.4235","-1.974","-4.069","0.8375","2.095","-113.7","-140","2.604 "
"89","0.3045","34.33","6.34E-06","1.732","3.12E+06","-3.26","-3.273","0.4328","-1.786","-4.142","0.8875","2.356","-110.6","-150.6","2.622 "
"90","0.2594","29.67","6.04E-06","1.73","3.14E+06","-3.237","-3.248","0.4417","-2.103","-4.348","0.925","2.244","-112.3","-165.6","2.64 "
"91","0.3021","21.22","5.75E-06","1.675","3.16E+06","-3.235","-3.234","0.4508","-2.085","-4.412","0.925","2.327","-107.8","-151.4","2.658 "
"92","0.3437","19.53","5.45E-06","1.729","3.18E+06","-3.218","-3.226","0.4236","-2.064","-4.17","0.8625","2.106","-105.4","-146.6","2.676 "
"93","0.3279","38.97","5.15E-06","1.732","3.20E+06","-3.233","-3.229","0.4304","-1.868","-3.891","0.8375","2.023","-113","-147.5","2.694 "
"94","0.2755","11.37","4.85E-06","1.707","3.22E+06","-3.235","-3.246","0.4128","-1.835","-4.141","0.8875","2.306","-95.03","-153.2","2.712 "
"95","0.3488","13.83","4.55E-06","1.738","3.25E+06","-3.226","-3.242","0.4426","-1.8","-3.661","0.875","1.861","-110.7","-140.1","2.73 "
"96","0.2766","21.7","4.25E-06","1.727","3.27E+06","-3.209","-3.212","0.4044","-2.366","-4.844","0.85","2.478","-111","-164.4","2.748 "
"97","0.3531","13.69","3.95E-06","1.701","3.29E+06","-3.213","-3.214","0.4386","-2.144","-4.308","0.875","2.164","-109.7","-153.2","2.765 "
"98","0.2934","13.7","3.65E-06","1.763","3.31E+06","-3.227","-3.235","0.4093","-2.037","-4.253","0.925","2.216","-105.4","-139.2","2.783 "
"99","0.3154","14.38","3.35E-06","1.723","3.33E+06","-3.228","-3.256","0.4176","-2.111","-4.458","0.875","2.347","-99.01","-155.4","2.801 "
"100","0.3291","21.16","3.05E-06","1.702","3.35E+06","-3.22","-3.238","0.4028","-2.025","-4.212","0.85","2.187","-111.1","-140.1","2.819 "
"101","0.3959","12.84","2.75E-06","1.751","3.37E+06","-3.186","-3.22","0.4155","-2.21","-4.152","0.8375","1.942","-116.2","-135.1","2.837 "
"102","0.2776","15.12","2.45E-06","1.695","3.39E+06","-3.237","-3.217","0.4373","-1.978","-3.887","0.9","1.909","-101.2","-135.8","2.855 "
"103","0.2857","20.55","2.15E-06","1.698","3.42E+06","-3.222","-3.233","0.4352","-1.901","-4.133","0.8875","2.232","-98.18","-147.1","2.873 "
"104","0.3183","13.66","1.86E-06","1.74","3.44E+06","-3.226","-3.206","0.4249","-2.192","-4.81","0.875","2.618","-112.6","-147.8","2.891 "
"105","0.3171","27.08","1.56E-06","1.766","3.46E+06","-3.215","-3.232","0.4397","-1.958","-4.19","0.8875","2.232","-115.1","-148","2.909 "
"106","0.3149","29.36","1.26E-06","1.698","3.48E+06","-3.223","-3.263","0.4538","-2.245","-4.147","0.8625","1.902","-112.9","-148.9","2.927 "
"107","0.274","13.24","9.58E-07","1.747","3.50E+06","-3.224","-3.242","0.3955","-1.928","-4.363","0.9","2.435","-100.2","-154.3","2.945 "
"108","0.3139","11.61","6.58E-07","1.712","3.53E+06","-3.243","-3.234","0.4052","-1.872","-3.857","0.85","1.985","-109.1","-142.6","2.963 "
"109","0.3016","29.44","3.59E-07","1.776","3.55E+06","-3.251","-3.259","0.4175","-1.869","-4.002","0.9","2.133","-120.7","-137.9","2.981 "
"110","0.3208","18.54","5.98E-08","1.761","3.57E+06","-3.219","-3.251","0.4373","-2.074","-4.028","0.875","1.954","-104.2","-145.8","2.999"